enrollment_day,toots_on_enrollment_day,toots_days_4_to_7
2022-11-20,246,115
2022-11-21,121,50
2022-11-22,73,26
2022-11-23,57,26
2022-11-24,32,20
2022-11-25,34,12
2022-11-26,38,16
2022-11-27,31,15
2022-11-28,42,13
2022-11-29,29,7
2022-11-30,29,8
2022-12-01,16,11
2022-12-02,32,21
2022-12-03,16,9
2022-12-04,19,8
2022-12-05,14,8
2022-12-06,12,6
2022-12-07,14,5
2022-12-08,10,9
2022-12-09,15,9
2022-12-10,144,89
2022-12-11,455,270
2022-12-12,769,531
2022-12-13,729,458
2022-12-14,598,364
2022-12-15,706,335
2022-12-16,1106,367
2022-12-17,44,17
2022-12-18,94,28
2022-12-19,86,39
