enrollment_day,incremental_new_users,toots_on_enrollment_day,toots_in_next_3_days,toots_days_4_to_7
2022-11-20,0,246,160,115
2022-11-21,919,121,66,50
2022-11-22,360,73,44,26
2022-11-23,308,57,31,26
2022-11-24,171,32,17,20
2022-11-25,138,34,14,12
2022-11-26,138,38,18,16
2022-11-27,155,31,17,15
2022-11-28,183,42,20,13
2022-11-29,143,29,13,7
2022-11-30,91,29,11,8
2022-12-01,98,16,12,11
2022-12-02,165,32,25,21
2022-12-03,87,16,14,9
2022-12-04,53,19,9,8
2022-12-05,67,14,9,8
2022-12-06,65,12,13,6
2022-12-07,20,14,7,5
2022-12-08,31,10,8,9
2022-12-09,62,15,4,9
2022-12-10,1022,144,103,89
2022-12-11,3416,455,284,270
2022-12-12,6555,769,398,531
2022-12-13,6150,729,439,458
2022-12-14,5260,598,358,364
2022-12-15,5938,706,434,335
2022-12-16,8149,1106,528,367
2022-12-17,277,44,29,17
2022-12-18,522,94,52,28
2022-12-19,536,86,57,39
